"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"43204-9488","SF","LeBron","LeBron James","James","51.91111111111111","45","11000","LAL@SAC","LAL","SAC","","","","",""
"43204-84669","PG","Luka","Luka Doncic","Doncic","52.6534906431686","43","10500","ATL@DAL","DAL","ATL","O","Ankle","","",""
"43204-15755","PF","Anthony","Anthony Davis","Davis","52.379998779296876","40","10300","LAL@SAC","LAL","SAC","","","","",""
"43204-20848","PG","Damian","Damian Lillard","Lillard","47.54893720910904","47","10200","UTA@POR","POR","UTA","","","","",""
"43204-84671","PG","Trae","Trae Young","Young","47.78181596235795","44","9900","ATL@DAL","ATL","DAL","","","","",""
"43204-15595","SG","Bradley","Bradley Beal","Beal","44.275","40","9600","BKN@WAS","WAS","BKN","","","","",""
"43204-66115","PG","Ben","Ben Simmons","Simmons","43.3787244431516","47","9300","PHI@BOS","PHI","BOS","","","","",""
"43204-49111","C","Joel","Joel Embiid","Embiid","46.15757427793561","33","9200","PHI@BOS","PHI","BOS","","","","",""
"43204-14498","PG","Kyrie","Kyrie Irving","Irving","47.41052567331415","19","8900","BKN@WAS","BKN","WAS","","","","",""
"43204-40203","C","Rudy","Rudy Gobert","Gobert","41.789131496263586","46","8700","UTA@POR","UTA","POR","","","","",""
"43204-9714","SG","DeMar","DeMar DeRozan","DeRozan","38.94255423038564","47","8600","CHA@SA","SA","CHA","","","","",""
"43204-12363","C","Hassan","Hassan Whiteside","Whiteside","43.075556098090274","45","8500","UTA@POR","POR","UTA","","","","",""
"43204-59358","PF","Domantas","Domantas Sabonis","Sabonis","41.46666666666667","45","8400","NY@IND","IND","NY","","","","",""
"43204-14528","SG","Jimmy","Jimmy Butler","Butler","42.90000059546494","41","8300","MIA@ORL","MIA","ORL","","","","",""
"43204-14514","C","Nikola","Nikola Vucevic","Vucevic","41.04324258340372","37","8100","MIA@ORL","ORL","MIA","","","","",""
"43204-80817","PF","Bam","Bam Adebayo","Adebayo","39.608510118849736","47","8000","MIA@ORL","MIA","ORL","","","","",""
"43204-80810","PG","De'Aaron","De'Aaron Fox","Fox","38.71333414713542","30","7900","LAL@SAC","SAC","LAL","","","","",""
